date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2026-05-13,Transit Finance hacked for $1.88 million,Hack or scam,Hack,Tron,[728126428],DeFi,"Transit Finance was exploited for $1.88 million after an attacker exploited a ""legacy contract"" on the TRON blockchain that the project said was deprecated in 2022. ""Historical vulnerabilities within it"" were exploited, the project explained, allowing the attacker to steal $1.88 million. Transit was previously exploited in 2022 for $21 million, although around 70% of the stolen assets were later returned.","[""https://x.com/TransitFinance/status/2054559075384590681"", ""https://www.web3isgoinggreat.com/?id=transit-swap-hacked-for-21-million-hacker-returns-large-portion""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/transit_300.webp,https://www.web3isgoinggreat.com/?id=transit-finance-hack,2026-07-22 20:32:37
2024-06-22,Sportsbet.io likely hacked for $3.5 million,Hack or scam,Hack,Tron,[728126428],,"It appears that the online crypto sports betting platform Sportsbet.io suffered a theft of around $3.5 million in USDT and Tron's TRX tokens. The theft was observed by crypto sleuth zachxbt, who noted that the theft seems to have been perpetrated by the same attacker who stole at least $55 million from the BtcTurk cryptocurrency exchange only hours earlier. SportsBet has not yet disclosed any theft.","[""https://t.me/investigations/136"", ""https://web.archive.org/web/20240622193637/https://t.me/investigations/136"", ""https://www.web3isgoinggreat.com/?id=btcturk-exploited-for-at-least-55-million""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/sportsbetio_300.webp,https://www.web3isgoinggreat.com/?id=sportsbetio-hack,2026-07-22 20:32:37
2024-02-25,Myanmar-based romance scam operation pulls in $100 million in less than two years,Hack or scam,Hack,Tron,[728126428],,"A pig-butchering operation in Myanmar has scammed victims of more than $100 million in Tether in less than two years, according to a report from Chainalysis and the anti-human trafficking organization International Justice Mission . Many of the workers for the romance scam group are themselves victims of human trafficking. The operation is based in a ""compound"" near Myanmar's border with Thailand, and researchers estimate that thousands of trafficked workers operate the scam from the ""self-contained city"". The scam may put more pressure on Tether, whose role in human trafficking and high-volume romance scam operations has been scrutinized more heavily in recent months and years. Tether has frozen some assets belonging to romance scammers in the past, but remains the token of choice for many of these groups.","[""https://twitter.com/web3isgreat/status/1762160339339132953"", ""https://www.web3isgoinggreat.com/?collection=tether"", ""https://en.wikipedia.org/wiki/International_Justice_Mission"", ""https://www.ft.com/content/fbe27292-4df9-4610-99e0-a93121e06dd3"", ""https://web.archive.org/web/20240226043512/https://www.ft.com/content/fbe27292-4df9-4610-99e0-a93121e06dd3""]",,https://www.web3isgoinggreat.com/?id=myanmar-based-pig-butchering-scam,2026-07-22 20:32:37
2023-11-10,Poloniex hacked for more than $120 million,Hack or scam,Hack,"Bitcoin, Ethereum, Tron","[0, 1, 728126428]",,"Assets including Bitcoin, Ethereum, and Tron's TRX token, priced at more than $126 million, were stolen from Justin Sun's Poloniex cryptocurrency exchange. Researchers are still homing in on the exact amount of funds that were stolen from the company's hot wallets across multiple blockchains, but suffice to say it's a lot. Poloniex was initially tight-lipped, posting on Twitter that they had ""disabled for maintenance"" an exchange wallet. Justin Sun later updated that they were investigating the ""hack incident"", and promised to ""fully reimburse"" the massive theft... somehow. He later tweeted that they would offer a 5% "" bounty "" to the hacker if they returned the funds within a week, threatening to ""engage law enforcement"" otherwise.","[""https://twitter.com/web3isgreat/status/1723008715970728024"", ""https://decrypt.co/205465/justin-sun-owned-crypto-exchange-poloniex-hacked-60m"", ""https://web.archive.org/web/20231110132018/https://decrypt.co/205465/justin-sun-owned-crypto-exchange-poloniex-hacked-60m"", ""https://twitter.com/justinsuntron/status/1722942733680296246"", ""https://twitter.com/justinsuntron/status/1722951876986204259"", ""https://twitter.com/PoloSupport/status/1722934043543752968""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/poloniex_300.webp,https://www.web3isgoinggreat.com/?id=poloniex-hack,2026-07-22 20:32:37
2023-09-15,Remitano hacked for $2.7 million,Hack or scam,Hack,"Ethereum, Tron","[1, 728126428]",,"Crypto exchange Remitano suffered a hack in which $2.7 million in Tether (USDT), USDC, and Ankr was drained from the exchange's hot wallets across three blockchains. Luckily for them, Tether was able to freeze $1.9 million of the stolen funds, substantially reducing the attacker's profits. Remitano acknowledged the hack, writing that they had suffered a ""data breach from a third-party source"". They have claimed that users' assets will not be affected by the theft. Remitano is a peer-to-peer crypto exchange focused on emerging markets, including Nigeria, Pakistan, Venezuela, and Malaysia.","[""https://twitter.com/web3isgreat/status/1703432033588896018"", ""https://remitano.com/forum/ng/134684-latest-updates-on-recent-security-incident-on-remitano"", ""https://web.archive.org/web/20230927175304/https://remitano.com/forum/ng/134684-latest-updates-on-recent-security-incident-on-remitano"", ""https://cointelegraph.com/news/remitano-exchange-allegedly-hacked-september-14"", ""https://web.archive.org/web/20230926060810/https://cointelegraph.com/news/remitano-exchange-allegedly-hacked-september-14"", ""https://rekt.news/remitano-rekt/"", ""https://web.archive.org/web/20230927175228/https://rekt.news/remitano-rekt/""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/remitano_300.webp,https://www.web3isgoinggreat.com/?id=remitano-hack,2026-07-22 20:32:37
2023-07-22,Alphapo hacked for more than $60 million,Hack or scam,Hack,"Bitcoin, Ethereum, Tron","[0, 1, 728126428]",,"The crypto payment processor Alphapo suffered a hot wallet hack on July 22 in which at least $60 million in Ethereum, Tron, and Bitcoin was stolen. Alphapo processes payments for several gambling platforms including HypeDrop, Bovada, and Ignition. HypeDrop disabled withdrawals on their platform, and wrote on Twitter that they were experiencing ""ongoing deposit and withdrawal issues"" due to ""an issue on the cryptocurrency provider's side.""","[""https://twitter.com/web3isgreat/status/1683572886643044353"", ""https://www.theblock.co/post/241048/alphapo-hot-wallets-drained-for-23-million-hypedrop-disables-withdrawals"", ""https://cointelegraph.com/news/alphapo-hot-wallets-hacked-for-over-31-million"", ""https://twitter.com/zachxbt/status/1683747073227624448""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/alphapo_300.webp,https://www.web3isgoinggreat.com/?id=alphapo-hack,2026-07-22 20:32:37
2023-03-22,"Lindsay Lohan, Jake Paul, and other celebrities charged for illegally touting Justin Sun's tokens",Law,,Tron,[728126428],,"Celebrities Lindsay Lohan, Jake Paul, Soulja Boy, Austin Mahone, Kendra Lust, Lil Yachty, Ne-Yo, and Akon were all charged by the SEC for violating anti-touting laws that would require them to disclose if and how much they were being paid to promote securities. The alleged securities in question are TRX and BTT, two tokens both closely tied to Justin Sun, who was also charged in relation to the scheme . With the exception of Soulja Boy and Mahone, the celebrities paid a total of more than $400,000 in disgorgement, interest, and penalties to settle the charges without admitting or denying them.","[""https://twitter.com/web3isgreat/status/1638634837304303616"", ""https://www.sec.gov/news/press-release/2023-59"", ""https://www.web3isgoinggreat.com/?id=justin-sun-charged-with-offering-unregistered-securities-and-market-manipulation""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/lohan-tron-tweet_300.webp,https://www.web3isgoinggreat.com/?id=lindsay-lohan-jake-paul-and-other-celebrities-charged-for-illegally-touting-justin-suns-tokens,2026-07-22 20:32:37
2023-03-22,Justin Sun charged with offering unregistered securities and market manipulation,Law,,Tron,[728126428],,"His (former?) Excellency Justin Sun has been charged by the US Securities and Exchange Commission for offering unregistered securities. His businesses, the Tron Foundation and two BitTorrent-related entities, were also named in the complaint. According to the SEC, Sun offered the unregistered securities TRX and BTT, and ""fraudulently manipulat[ed] the secondary market for TRX through extensive wash trading"". He also allegedly ""orchestrat[ed] a scheme to pay celebrities to tout TRX and BTT without disclosing their compensation"". Eight celebrities were also charged with violations of anti-touting law.","[""https://twitter.com/web3isgreat/status/1638634577387474944"", ""https://twitter.com/molly0xFFF/status/1636493691157196800"", ""https://www.sec.gov/news/press-release/2023-59"", ""https://www.web3isgoinggreat.com/?id=lindsay-lohan-jake-paul-and-other-celebrities-charged-for-illegally-touting-justin-suns-tokens""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/justin-sun_300.webp,https://www.web3isgoinggreat.com/?id=justin-sun-charged-with-offering-unregistered-securities-and-market-manipulation,2026-07-22 20:32:37
2023-01-05,"Huobi performs 20% layoff, reportedly requires employees to take salary in stablecoins","Layoffs, Shady business",,Tron,[728126428],stablecoins,"The major cryptocurrency exchange Huobi confirmed they planned to lay off 20% of employees, shortly after Huobi's advisor and somewhat its public face, Justin Sun, denied any layoffs were planned. Crypto reporter Colin Wu has also reported that the company is requiring all employees to begin accepting their salaries in Tether or USDC stablecoins , or face dismissal. Rumors on Twitter emerged that internal communications channels had been shut down to quell dissent over the change. Some crypto advocates commenting on the change maintained that there should be no difference to employees if they receive salaries in stablecoins vs. real money, but none seemed able to elucidate any legitimate reason that an exchange might find itself unable to pay salaries except in stablecoins. At least they're not being asked to take salaries in USDD, the Tron-based stablecoin associated with Justin Sun. USDD depegged even further from its peg (which has been unstable since around October 2022), dipping to around $0.97.","[""https://twitter.com/web3isgreat/status/1611513431902806022"", ""https://www.coindesk.com/markets/2023/01/06/huobi-exchange-token-down-11-on-reports-of-layoffs-internal-strife-at-company/"", ""https://www.coindesk.com/markets/2023/01/06/crypto-markets-today-huobi-tensions-sink-tron-token-price/?utm_medium=referral&utm_source=rss&utm_campaign=headlines"", ""https://twitter.com/WuBlockchain/status/1610615698254102529""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/huobi_300.webp,https://www.web3isgoinggreat.com/?id=huobi-performs-20-layoff-reportedly-requires-employees-to-take-salary-in-stablecoins,2026-07-22 20:32:37
2022-08-01,SEC charges perpetrators of $300 million Forsage crypto pyramid scheme,Law,Exit Scam / Ponzi,"BNB Chain, Ethereum, Tron","[56, 1, 728126428]",,"The SEC charged eleven people who helped to create and promote the crypto pyramid and Ponzi scheme Forsage. The scam operated from January 2020 into 2021, despite multiple cease and desist actions from regulators in the US and the Philippines. Users deposited their money into projects running on the Ethereum, Tron, and Binance blockchains, and earned rewards for recruiting others to the scheme. The project also used payments from newer investors to pay out earlier investors — a Ponzi scheme.","[""https://twitter.com/web3isgreat/status/1554268211515998209"", ""https://www.sec.gov/news/press-release/2022-134"", ""https://www.cnbc.com/2022/08/01/sec-charges-11-people-in-alleged-300-million-crypto-ponzi-scheme.html""]",,https://www.web3isgoinggreat.com/?id=sec-charges-perpetrators-of-300-million-forsage-crypto-pyramid-scheme,2026-07-22 20:32:37
2022-06-13,Tron's algorithmic stablecoin (USDD) wobbles,"Contagion, Hmm",,Tron,[728126428],stablecoins,"USDD, the algorithmic stablecoin belonging to the Tron network, dipped as low as $0.91 from its $1 peg on June 13 amidst a day of turmoil elsewhere in the crypto ecosystem. Blockchain analytics firm Nansen observed that Oapital, one of the funds that successfully profited off the Terra de-peg, had started to move large amounts of USDD (as well as other stablecoins). ""Doesn't look great"", Nansen tweeted. Tron founder Justin Sun tweeted that the Tron DAO would deploy $2 billion (with a B) in capital to fight short sellers, writing: "" Short squeeze is coming"".","[""https://twitter.com/web3isgreat/status/1536438736224931840"", ""https://en.wikipedia.org/wiki/Short_squeeze"", ""https://www.coindesk.com/markets/2022/06/13/trons-stablecoin-peg-to-dollar-wobbles-justin-sun-swears-to-deploy-2b-to-prop-up/"", ""https://cointelegraph.com/news/usdd-stablecoin-falls-to-0-97-dao-inserts-700m-to-defend-the-peg"", ""https://twitter.com/nansen_intern/status/1536271256290476032"", ""https://twitter.com/justinsuntron/status/1536260267117527040""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/usdd_300.webp,https://www.web3isgoinggreat.com/?id=trons-algorithmic-stablecoin-wobbles,2026-07-22 20:32:37
