date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2024-11-16,Polter Finance exploited for $12 million,Hack or scam,Flash Loan Attack,Fantom,[250],DeFi,"The Fantom-based Polter Finance defi project was exploited for $7 million when an attacker was able to perform an oracle manipulation attack. By artificially increasing the price of the $BOO token, which is a governance token used by the SpookySwap project, they were then able to use that token to drain Polter's liquidity pools using a flash loan . The attacker successfully drained the entire $12 million worth of tokens on the platform. The creator of the platform stated that they had filed a police report with Singaporean authorities. They also attempted to contact the hacker via on-chain message to negotiate the return of funds, but have not received a response.","[""https://twitter.com/web3isgreat/status/1860746295972864011"", ""https://cointelegraph.com/news/polter-finance-12m-hack-response"", ""https://web.archive.org/web/20241118215024/https://cointelegraph.com/news/polter-finance-12m-hack-response""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/polter_300.webp,https://www.web3isgoinggreat.com/?id=polter-finance-hack,2026-07-23 05:32:16
2024-05-05,GNUS.ai exploited for $1.27 million,Hack or scam,Hack,"Ethereum, Fantom, Polygon","[1, 250, 137]",,"An exploiter was able to create a fake version of the $GNUS token on the Fantom blockchain, then bridge the tokens to Ethereum and Polygon where they were then sold as though they were authentic. They were able to drain $1.27 million from the project's liquidity pools. GNUS.ai (short for ""Genius"", not a reference to the animal) is one of many AI-related blockchain projects that has sprung out of the recent AI hype. This particular one promises to allow people to ""utiliz[e] unused cycles"" on various computing devices for computation-intensive AI systems, using cryptocurrency for payments.","[""https://twitter.com/web3isgreat/status/1787520722702680185"", ""https://twitter.com/CyversAlerts/status/1787407808024940865"", ""https://twitter.com/GnusAi/status/1787118358862942361""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/gnusai_300.webp,https://www.web3isgoinggreat.com/?id=gnusai-exploi,2026-07-23 05:32:16
2024-01-16,$2.7 million disappears from funds meant to compensate Hector Network investors,Hack or scam,Hack,Fantom,[250],"DAO, DeFi","In July 2023, angry investors in the Hector Network project opted to ""rage quit"" — an option reserved by some defi projects that allows investors to vote to liquidate a project's remaining treasury and distribute it to token holders. The successful rage-quit vote in Hector's case came after the protocol lost $8 million in the Multichain disaster , although investors say that was only the final straw in a series of poor management choices and inflated salaries that saw the project treasury dwindle from over $100 million to around $16 million. Now, another $2.7 million is gone after an apparent thief was able to exploit a smart contract that was intended to distribute payouts to Hector's token holders. They then swapped the tokens from the USDC stablecoin to ETH. Investors in the project are furious, especially because various parties had warned Hector Network about apparently insecure practices. Hector Network's team, meanwhile, have not acknowledged the theft, although a law firm involved in the project liquidation promised a statement would be forthcoming.","[""https://twitter.com/web3isgreat/status/1747768245703061761"", ""https://web3isgoinggreat.com/?collection=multichain"", ""https://www.dlnews.com/articles/defi/mysterious-27-million-withdrawal-from-hector-network-leaves-investors-perplexed/"", ""https://web.archive.org/web/20240117044516/https://www.dlnews.com/articles/defi/mysterious-27-million-withdrawal-from-hector-network-leaves-investors-perplexed/"", ""https://www.dlnews.com/articles/defi/hector-network-dao-rage-quits-after-draining-100m-treasury/"", ""https://web.archive.org/web/20240117234900/https://www.dlnews.com/articles/defi/hector-network-dao-rage-quits-after-draining-100m-treasury/"", ""https://www.web3isgoinggreat.com/?id=hector-dao-shuts-down""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/hector_300.webp,https://www.web3isgoinggreat.com/?id=hector-network-compensation-fund-theft,2026-07-23 05:32:16
2023-10-17,Fantom Foundation and employees lose collective $7 million in mass hack,Hack or scam,Hack,"Ethereum, Fantom","[1, 250]",,"An attack targeting the Fantom Foundation and its employees siphoned $7 million from wallets under their control. Of that, around $550,000 were funds belonging to the Fantom Foundation. One individual employee reportedly lost $3.4 million. It's not clear yet how the attack was perpetrated, although crypto researcher Spreek reposted a comment by an admin in Fantom's Telegram channel, where they blamed the theft on a zero-day exploit in Google Chrome.","[""https://twitter.com/web3isgreat/status/1714400262029295691"", ""https://cryptoslate.com/fantom-foundation-confirms-550k-loss-in-broader-7m-attack/"", ""https://web.archive.org/web/20231017213606/https://cryptoslate.com/fantom-foundation-confirms-550k-loss-in-broader-7m-attack/"", ""https://twitter.com/spreekaway/status/1714282750830928176""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/fantom_300.webp,https://www.web3isgoinggreat.com/?id=fantom-wallet-hacks,2026-07-23 05:32:16
2023-08-09,SpiritSwap to shut down after Multichain collapse,"Collapse, Contagion",,Fantom,[250],,"SpiritSwap announced on its Discord that the project will be shutting down on September 1 unless they can find a new team to take over the project by that time. SpiritSwap lost their entire project treasury in the collapse of Multichain , and announced that they have ""run out of funds to cover the necessary operational costs."" The project plans to remain operational until September 1 to remove their liquidity. SpiritSwap was previously one of the most popular DEXes on Fantom, boasting an all-time-high TVL of $374 million in January. It now has less than $3 million TVL, thanks in part to the Multichain collapse and to the broader cryptocurrency bear market. SpiritSwap is only the most recent project to announce its closure as a result of the Multichain fiasco. In July, Geist Finance and Hector Network also announced they would be shutting down due to Multichain contagion.","[""https://twitter.com/web3isgreat/status/1689376912391450625"", ""https://twitter.com/ftm_ecologist/status/1689070014446673924"", ""https://cointelegraph.com/news/spiritswap-fantom-project-winds-down-citing-multichain-exposure"", ""https://www.web3isgoinggreat.com/?id=multichain-finally-confirms-their-ceo-was-arrested-in-china""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/spiritswap_300.webp,https://www.web3isgoinggreat.com/?id=spiritswap-to-shut-down,2026-07-23 05:32:16
2023-07-17,Hector Network begins shutdown after Multichain collapse,"Collapse, Contagion",,Fantom,[250],"DAO, DeFi","Hector DAO, the governing body behind the Hector Network, voted to liquidate the project's $16 million treasury and distribute it to tokenholders, effectively putting an end to the project. On July 14, a community manager wrote on Discord that ""Hector Network ha[d] suffered significant damage to its ability to operate"" after the Multichain collapse , and that the project faced a choice between liquidating the treasury and winding down or migrating to a new blockchain and trying to rebuild. The community chose the former. According to a post on Discord, the winding-down process will likely take 6 to 12 months as the project appoints a liquidator, legal counsel, and auditor.","[""https://twitter.com/web3isgreat/status/1681012583510204416"", ""https://www.coindesk.com/business/2023/07/17/hector-network-votes-to-liquidate-16m-treasury-following-multichain-fantom-losses/"", ""https://www.web3isgoinggreat.com/?id=multichain-finally-confirms-their-ceo-was-arrested-in-china""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/hector_300.webp,https://www.web3isgoinggreat.com/?id=hector-dao-shuts-down,2026-07-23 05:32:16
2023-07-14,Geist Finance shuts down after Multichain-related losses,"Collapse, Contagion, Hmm",,"Ethereum, Fantom","[1, 250]","DeFi, lending","Defi lending project Geist Finance announced they would be shutting down after more than $200 million was drained from the Multichain project in two separate events in early July. Geist Finance had previously allowed people to borrow against assets bridged via Multichain, and had over $29 million TVL . However, price oracles are no longer reporting accurate prices of the bridged equivalents of tokens, which are now largely unbacked thanks to the missing assets, and trading at a massive discount to the original tokens. Geist paused their smart contracts on July 6, then reenabled the withdraw and repay functions on July 9, while waiting for news from Multichain. Now that Multichain has confirmed that the missing hundreds of millions will not be recovered, Geist has announced they will not reopen. If they were to do so, the platform would almost immediately take on bad debt as people exploited the price discrepancies. Multichain added, ""Just to be clear this is in no way an attempt to blame Chainlink oracles which worked as they should. There are no oracles for the Multichain assets themselves because there was the expectation to exchange them 1:1. Nobody is to blame except Multichain here.""","[""https://twitter.com/web3isgreat/status/1680273686576726021"", ""https://twitter.com/GeistFinance/status/1679827762444378114"", ""https://cointelegraph.com/news/fantom-based-lender-geist-finance-shuts-down-permanently-over-multichain-hack"", ""https://www.web3isgoinggreat.com/?id=multichain-suspected-hack""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/geist_300.webp,https://www.web3isgoinggreat.com/?id=geist-finance-shuts-down,2026-07-23 05:32:16
2022-08-01,Reaper Farm exploited for around $1.7 million,Hack or scam,Hack,Fantom,[250],DeFi,"Yield farming project Reaper Farm suffered an exploit that resulted in a $1.7 million loss. The attackers discovered a vulnerability that allowed them to withdraw anyone else's funds. They then bridged funds to Ethereum, then laundered them through Tornado Cash. After discovering the exploit, Reaper Farms used the same vulnerability to remove funds from the remaining vulnerable vaults to prevent the attacker from stealing more. Shortly after the exploit, Reaper Farms announced they plained to raise capital via ""the sale of vested $OATH tokens from our treasury with desirable terms"", which would then be used alongside other assets in their treasury to compensate users.","[""https://twitter.com/web3isgreat/status/1556438911546802176"", ""https://docs.google.com/document/d/1aCEbz40BBC3y1RqDksnD9d-5IOXXgbeKAvJWMH2GoI4/edit"", ""https://docs.google.com/document/d/1wymADZrvisr8UNU9BHWh9bgEsO28D2-awhOHlxlQ3X8/edit""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/reaperfarm_300.webp,https://www.web3isgoinggreat.com/?id=reaper-farm-exploited-for-around-1-7-million,2026-07-23 05:32:16
2022-07-01,"Ankr gateways for Polygon and Fantom compromised, seed phrases possibly stolen",Hack or scam,Hack,"Fantom, Polygon","[250, 137]",dApps,"The Ankr public RPC gateways (basically an API for dApps and other services to communicate with the blockchain) for Polygon and Fantom were impacted when attackers compromised the projects' DNS management. Those who accessed Polygon or Fantom using Ankr's RPC gateways saw pop-up windows stating that ""funds are at risk"", and prompting them to enter their seed phrases at a website linked from the popup to ""restore their wallet"". Polygon's chief information security officer Mudit Gupta told CoinDesk that day that ""no funds [were] lost as far as we know but we are still investigating"", and that dApps using the Ankr RPC endpoint were non-functional. Ankr later announced that the RPC systems had been fully restored, and that the breach had come from a ""third-party vendor"" that enabled attackers to change Ankr's domain hosts.","[""https://twitter.com/web3isgreat/status/1542982067641896965"", ""https://en.wikipedia.org/wiki/API"", ""https://en.wikipedia.org/wiki/Domain_Name_System"", ""https://www.coindesk.com/tech/2022/07/01/two-polygon-fantom-front-ends-hit-by-dns-attack/"", ""https://cryptobriefing.com/polygon-fantom-users-targeted-ankr-gateway-hack/"", ""https://twitter.com/officer_cia/status/1542829400143568897"", ""https://twitter.com/ankr/status/1542893265317498884""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/ankr_300.webp,https://www.web3isgoinggreat.com/?id=ankr-gateways-for-polygon-and-fantom-compromised,2026-07-23 05:32:16
2022-05-16,Scream lending protocol racks up $35 million in bad debt after hardcoding not-so-stablecoin prices to $1,"Bug, Contagion",,Fantom,[250],"DeFi, lending, stablecoins","The defi lending protocol Scream may have taken the ""stable"" in ""stablecoin"" a bit too literally when they hardcoded the prices of the Fantom USD (fUSD) and DEI stablecoins. In the past few weeks we've seen many stablecoins wobble, and when fUSD and DEI followed suit, Scream ended up in trouble. Users were able to take advantage of the inaccurately high price to borrow other stablecoins on the cheap, leaving Scream with $35 million in bad debt . The platform's reserves of other stablecoins were completely drained; meanwhile, Scream users holding fUSD or DEI can't withdraw.","[""https://twitter.com/web3isgreat/status/1526260242174169089"", ""https://www.theblockcrypto.com/post/147046/defi-lender-left-with-35-million-bad-debt-after-quoting-depegged-stablecoins-at-1""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/scream_300.webp,https://www.web3isgoinggreat.com/?id=scream-lending-protocol-racks-up-35-million-in-bad-debt-after-hardcoding-not-so-stablecoin-prices-to-1,2026-07-23 05:32:16
